name,F_BUS,T_BUS,G1,G14,G24,G30,total
E1,1,2,0.8420111183222723,0.0,0.0,0.0,0.8420111183222723
E2,2,3,1.7856047326790803,0.0,0.0,0.0,1.7856047326790803
E3,3,4,1.0742892502765278,0.0,0.5196971862075073,0.0,1.593986436484035
E4,4,5,0.8029262331770148,0.0,0.388422860981702,0.0,1.1913490941587168
E5,5,6,1.4822508195999895,0.0,0.717052302256202,0.0,2.1993031218561914
E6,6,7,0.0634216679763211,0.0,0.03068080815619989,0.05730764170099045,0.15141011783351144
E7,7,8,0.033556875119203355,0.0,0.016233443249000917,0.030321898450404172,0.08011221681860844
E8,9,8,0.0,0.05615351434430649,0.0,0.0,0.05615351434430649
E9,10,9,0.0,0.15832288318790022,0.0,0.0,0.15832288318790022
E10,11,10,0.0,0.05889874575801257,0.0,0.0,0.05889874575801257
E11,12,11,0.0,0.1744220405610064,0.0,0.0,0.1744220405610064
E12,13,12,0.0,1.079062589204427,0.0,0.0,1.079062589204427
E13,14,13,0.0,0.576317871329779,0.0,0.0,0.576317871329779
E14,14,15,0.0,0.30242790510742745,0.0,0.0,0.30242790510742745
E15,15,16,0.0,0.23840298165161977,0.0,0.0,0.23840298165161977
E16,16,17,0.0,0.21308563908639666,0.0,0.0,0.21308563908639666
E17,17,18,0.0,0.04499221872500403,0.0,0.0,0.04499221872500403
E18,2,19,0.16022854686409405,0.0,0.0,0.0,0.16022854686409405
E19,19,20,0.8284168967305217,0.0,0.0,0.0,0.8284168967305217
E20,20,21,0.10030252510970228,0.0,0.0,0.0,0.10030252510970228
E21,21,22,0.043437091686887586,0.0,0.0,0.0,0.043437091686887586
E22,23,3,0.0,0.0,0.09803433475830126,0.0,0.09803433475830126
E23,24,23,0.0,0.0,0.47019906648848586,0.0,0.47019906648848586
E24,24,25,0.0,0.0,1.218118439411997,0.0,1.218118439411997
E25,26,6,0.0,0.0,0.0,0.27295994663209533,0.27295994663209533
E26,27,26,0.0,0.0,0.0,0.38199872358538056,0.38199872358538056
E27,28,27,0.0,0.0,0.0,1.4802441716122994,1.4802441716122994
E28,29,28,0.0,0.0,0.0,1.2303947586136954,1.2303947586136954
E29,30,29,0.0,0.0,0.0,0.9296541978016104,0.9296541978016104
E30,30,31,0.0,0.0,0.0,1.379203748227309,1.379203748227309
E31,31,32,0.0,0.0,0.0,0.1844895220917686,0.1844895220917686
E32,32,33,0.0,0.0,0.0,0.01139479358960166,0.01139479358960166
