,G1,G2,E1,E2,E3,E4,E5,E6,E8,E9,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_QF,27.045923533491962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,E,True,1.0,27.045923533491962,0.0
E1_QT,23.9231269986292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,E,True,1.0,23.9231269986292,0.0
E2_QF,1.0300063738839647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,E,True,1.0,1.0300063738839647,0.0
E2_QT,0.9307229072876989,0.0,0.0,15.612642336472671,0.0,0.0,0.0,0.0,0.0,0.0,4,5,E,True,1.0,16.54336524376037,0.0
E3_QF,0.0,0.0,0.0,0.0,-13.456634756239449,0.0,0.0,0.0,0.0,0.0,5,6,E,True,1.0,-13.456634756239449,0.0
E3_QT,0.0,0.0,0.0,0.0,18.074835718895816,0.0,0.0,0.0,0.0,0.0,5,6,E,True,1.0,18.074835718895816,0.0
E4_QF,0.0,0.0,0.0,0.0,14.955327300831122,0.0,0.0,0.0,0.0,0.0,6,3,E,True,1.0,14.955327300831122,0.0
E4_QT,0.0,0.0,0.0,0.0,10.859709070988494,0.0,0.0,0.0,0.0,0.0,6,3,E,True,1.0,10.859709070988494,0.0
E5_QF,0.0,0.0,0.0,0.0,3.119508418063608,0.0,0.0,0.0,0.0,0.0,6,7,E,True,1.0,3.119508418063608,0.0
E5_QT,0.0,0.0,0.0,0.0,2.9564103626707974,0.0,21.339412249013723,0.0,0.0,0.0,6,7,E,True,1.0,24.29582261168452,0.0
E6_QF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.704177388314703,0.0,0.0,7,8,E,True,1.0,-10.704177388314703,0.0
E6_QT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7973314422492093,0.0,0.0,7,8,E,True,1.0,0.7973314422492093,0.0
E8_QF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.380817397938344,0.0,8,9,E,True,1.0,-8.380817397938344,0.0
E8_QT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.312751170505567,0.0,8,9,E,True,1.0,11.312751170505567,0.0
E9_QF,22.89312062474635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,E,True,1.0,22.89312062474635,0.0
E9_QT,21.334624598734067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.35262423075872,4,9,E,True,1.0,38.68724882949279,7.105427357601002e-15
L5,0.9307229072877045,0.0,0.0,15.612642336472765,13.456634756239529,0.0,0.0,0.0,0.0,0.0,5,0,L,True,1.0,30.0,0.0
L7,0.0,0.0,0.0,0.0,2.956410362670863,0.0,21.339412249014195,10.70417738831494,0.0,0.0,7,0,L,True,1.0,35.0,0.0
L9,21.334624598734766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.312751170505939,17.352624230759293,9,0,L,True,1.0,50.0,0.0
G1,27.045923533491987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,True,1.0,27.045923533491987,0.0
G2,0.0,6.653660318427683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,G,True,1.0,6.653660318427683,0.0
G3,0.0,0.0,0.0,0.0,10.859709070988515,0.0,0.0,0.0,0.0,0.0,3,0,L,True,1.0,10.859709070988515,0.0
E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79733144224925,8.380817397938772,0.0,8,0,L,True,1.0,9.178148840188022,0.0
E7,0.0,6.653660318427703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,L,True,1.0,6.653660318427703,-8.881784197001252e-16
